Game,TimeMs,Moves,Nodes,Visit,MaxDepth,BTrack,Uber,Fnd=>Tabl,Mega,Split,Abut,Neut,Order,InsertUnder,BurFndRdy,FCSeq,ColClr,MaxLkAhd,GenPurpose,Extender,Stat
215,2.5002,97,400,97,97,0,0,0,0,2,2,3,1,0,7,2,0,2,0,3,OK
216,4.0594,130,421,133,130,3,0,2,0,3,9,3,3,1,14,1,0,7,0,2,OK
217,5.641,120,676,389,120,269,0,1,0,9,2,1,1,0,8,3,0,3,0,7,OK
218,2.606,118,385,128,118,10,0,2,0,1,19,4,0,2,9,0,0,4,0,1,OK
219,2.5549,99,355,103,99,4,0,0,0,2,15,1,1,1,7,0,0,2,0,32,OK
220,3.6125,103,405,103,103,0,0,0,0,2,2,3,0,1,11,0,0,4,0,6,OK
221,28.8848,165,2022,1737,165,1572,0,19,0,1,67,17,2,0,1,17,0,2,0,28,OK
222,2.4677,130,418,130,130,0,0,1,0,4,2,3,3,0,5,2,0,2,0,10,OK
223,665.0935,287,26074,25081,962,24794,0,40,0,23,89,24,2,35,5,4027,0,4,0,0,OK
224,4.2007,147,579,159,147,12,0,5,0,6,1,1,1,1,10,0,0,2,0,0,OK
225,2.0397,115,360,115,115,0,0,0,0,3,2,4,1,0,3,7,0,4,0,1,OK
226,4.2042,116,454,116,116,0,0,0,0,5,2,2,4,0,16,0,0,3,0,5,OK
227,2.8572,113,470,114,113,1,0,0,0,3,18,3,1,0,22,0,0,2,0,20,OK
228,2.6586,134,432,134,134,0,0,0,0,2,1,3,2,2,1,2,0,4,0,17,OK
229,4.6242,132,522,218,132,86,0,0,0,2,8,4,1,0,10,1,0,2,0,6,OK
230,6.3083,149,627,149,149,0,0,1,0,2,17,2,2,0,3,0,0,4,0,19,OK
231,3.3057,148,461,150,148,2,0,2,0,8,2,4,2,1,3,9,0,4,0,3,OK
232,2.5857,91,414,91,91,0,0,0,0,2,0,1,0,1,4,0,0,4,0,13,OK
